Group.1;"""Avg_dist""";"""Avg_dist_Dutch""";"""Avg_dist_German""";"""Avg_dist_International""";"""Avg_dist_FSE""";"""Avg_dist_FA""";"""Avg_dist_FEB""";"""Avg_dist_FBSS""";"""Avg_dist_FTRS""";"""Avg_dist_FMS""";"""Avg_dist_FL""";"""Avg_dist_FSS""";"""Avg_dist_FP""";"""Avg_dist_OT""";"""Avg_dist_O""";"""Avg_dist_UCG""";"""Avg_number_of_con_p_student""";"""Min_number_of_con_p_student""";"""Max_number_of_con_p_student""";"""Avg_dist_over_5_associations""";"""Avg_dist_over_3_associations"""
default;2,843333333;2,78194478;2,989821251;3,097747803;2,249598887;2,504433676;2,439501983;2,375755795;2,426605008;2,411769638;2,481824429;2,450041785;2,400752918;0,994840041;1,312121212;1,990943515;90,34896;6,2;267;2,427545364;2,815721213
knows_10_p_ass;2,863333333;2,804780148;3,069199304;3,139327697;2,378513232;2,518062424;2,466359386;2,394034124;2,44877453;2,429181212;2,500353794;2,482880962;2,445265553;0,927941176;0,166666667;2,034630865;83,22674667;6,8;178,8;2,526391151;2,824498279
knows_50_p_ass;2,838666667;2,780204104;3,000851429;3,082266035;2,195809465;2,510853904;2,399521567;2,341485988;2,354545419;2,412920259;2,473521027;2,409796134;2,365323714;1,648484848;0,271328671;2,039973371;96,60362667;5,4;345,4;2,425498655;2,785903288
knows_no_one_at_study;3,048666667;2,933914689;3,517612107;3,542950341;2,432115193;2,836739699;2,758785233;2,853671428;3,821527225;2,955188784;2,901471458;3,225616693;3,424710724;4,868686869;2,548717949;3,305144278;52,78850667;1;225,2;2,515130666;3,003440804
knows_no_one_at_study_faculty;4,309333333;3,308082994;6,477904185;6,664725607;3,334184483;4,531690433;4,204151235;4,311369438;4,765533172;5,075624392;4,670273088;4,479261086;4,310058643;4,817582418;-0,338461538;3,6876619;29,35524;1;184;2,641758989;4,135936479
knows_only_students_same_phase;2,853333333;2,79187025;3,047018909;3,143487027;2,256175737;2,526983411;2,443633205;2,416629346;2,418863227;2,54391994;2,456815611;2,380565223;2,39882698;1,847812971;0;1,971273783;87,73362667;7,2;259,8;2,459059255;2,819507849
no_random_conn;3,670666667;3,660184009;3,692196879;3,736247026;2,265813164;2,57679685;2,481141863;2,402497146;2,477923509;2,441213487;2,503567784;2,492923656;2,408580545;0,420414673;0,106818182;1,867895175;72,46425333;5,6;239,6;2,709235267;3,534432152
no_student_association;2,824;2,789670911;3,042443231;3,110081213;2,24258881;2,509520711;2,425524999;2,356578552;2,472614397;2,418910616;2,459670717;2,455990388;2,373892261;1,019919786;-1;1,993020998;90,49093333;5,6;266,6;2,414897045;2,809103908
no_study_association;2,847333333;2,788129078;3,022251928;3,087761923;2,246848088;2,515562629;2,445270192;2,39307703;2,483057702;2,411728215;2,482062728;2,418401581;2,456888454;1,510064935;0,071328671;2,071265304;90,30886667;6,8;266,4;2,43085187;2,811928043
random_con_10p;3,286666667;3,242225907;3,488911323;3,550629049;2,285009214;2,565846068;2,477233907;2,407096096;2,787592013;2,446752215;2,500408214;2,513579048;2,48635818;1,315151515;-0,447058824;2,109081751;74,10958667;5,4;236;2,563468628;3,213856938
random_con_50p;2,934666667;2,868277825;3,169676158;3,245829079;2,268079192;2,536108852;2,460509412;2,376298499;2,40870939;2,430129093;2,50809489;2,418689031;2,527074597;0,143859649;1,068531469;2,025090701;81,29985333;5;251,6;2,474655231;2,886689359
study_only_knows_same_year;2,886666667;2,838282401;3,127155077;3,182845991;2,290927149;2,613522563;2,543288773;2,57538861;2,545468899;2,641767527;2,627598278;2,564968513;2,710127526;1,595238095;0,2;2,364974208;75,62894667;5,2;245,4;2,469795332;2,848175959
